station,date,t_avg,dew_point,wet_bulb,precip_total,stn_pressure,sea_level,result_speed,result_dir,avg_speed,wet_dry,week,month,year,year_month,year_week
1,2007-05-09,69.0,59,63.0,0.13,29.21,29.94,3.9,9,6.2,1,19,5,2007,20075,200719
2,2007-05-09,70.0,60,63.0,0.02,29.28,29.93,3.9,7,5.9,1,19,5,2007,20075,200719
1,2007-05-10,70.0,52,60.0,0.0,29.2,29.92,0.7,17,4.1,1,19,5,2007,20075,200719
2,2007-05-10,71.0,52,61.0,0.0,29.26,29.91,2.0,9,3.9,1,19,5,2007,20075,200719
1,2007-05-11,61.0,42,51.0,0.0,29.33,30.04,11.3,3,12.9,0,19,5,2007,20075,200719
2,2007-05-11,61.0,44,51.0,0.0,29.39,30.03,11.7,36,12.8,0,19,5,2007,20075,200719
1,2007-05-12,55.0,36,46.0,0.0,29.49,30.2,12.4,3,12.9,0,19,5,2007,20075,200719
2,2007-05-12,56.0,37,46.0,0.0,29.54,30.19,12.7,1,13.0,0,19,5,2007,20075,200719
1,2007-05-13,56.0,33,46.0,0.0,29.49,30.24,6.6,14,8.1,0,19,5,2007,20075,200719
2,2007-05-13,57.0,32,46.0,0.0,29.55,30.24,6.4,11,7.6,0,19,5,2007,20075,200719
1,2007-05-14,73.0,47,59.0,0.0,29.23,29.97,16.9,21,17.3,0,20,5,2007,20075,200720
2,2007-05-14,72.0,45,58.0,0.0,29.31,29.98,14.1,21,14.6,0,20,5,2007,20075,200720
1,2007-05-15,69.0,56,61.0,0.38,29.13,29.84,8.1,27,12.3,1,20,5,2007,20075,200720
2,2007-05-15,69.0,56,61.0,0.6,29.19,29.83,8.1,25,10.8,1,20,5,2007,20075,200720
1,2007-05-16,55.0,43,48.0,0.14,29.33,30.03,7.8,36,12.2,1,20,5,2007,20075,200720
2,2007-05-16,55.0,42,47.0,0.07,29.39,30.03,8.0,36,11.8,1,20,5,2007,20075,200720
1,2007-05-17,53.0,32,43.0,0.0,29.55,30.27,10.5,3,11.3,0,20,5,2007,20075,200720
2,2007-05-17,53.0,32,43.0,0.0,29.62,30.27,11.7,1,12.2,0,20,5,2007,20075,200720
1,2007-05-18,57.0,30,46.0,0.0,29.53,30.25,5.4,25,7.5,0,20,5,2007,20075,200720
2,2007-05-18,57.0,31,47.0,0.0,29.6,30.26,3.4,22,5.5,0,20,5,2007,20075,200720
1,2007-05-19,68.0,39,53.0,0.0,29.34,30.08,11.1,24,11.4,0,20,5,2007,20075,200720
2,2007-05-19,68.0,37,53.0,0.0,29.41,30.08,11.1,23,11.4,0,20,5,2007,20075,200720
1,2007-05-20,56.0,40,44.0,0.07,29.38,30.11,10.4,4,10.7,1,20,5,2007,20075,200720
2,2007-05-20,57.0,41,45.0,0.11,29.44,30.11,8.6,3,9.7,1,20,5,2007,20075,200720
1,2007-05-21,62.0,50,56.0,0.0,29.33,30.06,6.3,11,8.2,0,21,5,2007,20075,200721
2,2007-05-21,63.0,50,57.0,0.0,29.39,30.05,6.3,10,7.8,0,21,5,2007,20075,200721
1,2007-05-22,71.0,46,58.0,0.0,29.34,30.06,10.0,18,10.2,0,21,5,2007,20075,200721
2,2007-05-22,74.0,44,58.0,0.0,29.41,30.05,10.1,16,10.6,0,21,5,2007,20075,200721
1,2007-05-23,75.0,49,61.0,0.0,29.39,30.1,11.4,19,11.8,0,21,5,2007,20075,200721
2,2007-05-23,78.0,48,61.0,0.0,29.47,30.1,10.9,18,11.2,0,21,5,2007,20075,200721
1,2007-05-24,76.0,54,63.0,0.02,29.41,30.11,14.9,21,17.3,1,21,5,2007,20075,200721
2,2007-05-24,77.0,53,63.0,0.005,29.47,30.1,13.8,20,15.2,1,21,5,2007,20075,200721
1,2007-05-25,63.0,44,53.0,0.005,29.51,30.24,4.9,5,8.8,0,21,5,2007,20075,200721
2,2007-05-25,62.0,46,53.0,0.09,29.57,30.23,4.5,5,8.2,1,21,5,2007,20075,200721
1,2007-05-26,57.0,55,56.0,1.01,29.36,30.11,2.8,17,7.2,1,21,5,2007,20075,200721
2,2007-05-26,60.0,55,57.0,0.28,29.42,30.1,2.5,15,7.8,1,21,5,2007,20075,200721
1,2007-05-27,66.0,47,56.0,0.04,29.34,30.06,8.9,26,9.5,1,21,5,2007,20075,200721
2,2007-05-27,67.0,49,57.0,0.08,29.41,30.05,8.2,24,9.2,1,21,5,2007,20075,200721
1,2007-05-28,65.0,47,56.0,0.005,29.43,30.15,4.8,10,5.3,1,22,5,2007,20075,200722
2,2007-05-28,65.0,49,57.0,0.0,29.49,30.14,4.7,8,5.2,0,22,5,2007,20075,200722
1,2007-05-29,74.0,58,65.0,0.0,29.39,30.11,5.8,18,6.5,1,22,5,2007,20075,200722
2,2007-05-29,77.0,59,66.0,0.0,29.44,30.09,5.8,16,7.4,1,22,5,2007,20075,200722
1,2007-05-30,77.0,58,65.0,0.0,29.31,30.04,10.3,19,10.6,0,22,5,2007,20075,200722
2,2007-05-30,80.0,57,66.0,0.0,29.38,30.03,9.7,17,10.1,0,22,5,2007,20075,200722
1,2007-05-31,72.0,61,65.0,0.01,29.28,30.0,9.3,19,9.9,1,22,5,2007,20075,200722
2,2007-05-31,74.0,61,66.0,0.53,29.34,29.99,8.9,18,9.2,1,22,5,2007,20075,200722
1,2007-06-01,74.0,63,66.0,0.19,29.19,29.91,4.2,17,6.4,1,22,6,2007,20076,200722
2,2007-06-01,77.0,63,67.0,0.21,29.25,29.9,4.7,16,5.8,1,22,6,2007,20076,200722
1,2007-06-02,73.0,63,67.0,0.04,29.03,29.77,6.5,22,7.4,1,22,6,2007,20076,200722
2,2007-06-02,75.0,62,67.0,0.005,29.1,29.76,7.5,21,8.2,1,22,6,2007,20076,200722
1,2007-06-03,70.0,60,63.0,0.01,28.82,29.56,5.2,25,6.7,1,22,6,2007,20076,200722
2,2007-06-03,71.0,60,64.0,0.32,28.87,29.54,4.9,24,7.2,1,22,6,2007,20076,200722
1,2007-06-04,65.0,58,60.0,0.39,28.82,29.52,7.8,31,9.7,1,23,6,2007,20076,200723
2,2007-06-04,64.0,57,60.0,0.31,28.88,29.51,7.9,30,10.1,1,23,6,2007,20076,200723
1,2007-06-05,56.0,48,51.0,0.42,29.1,29.79,5.2,5,7.6,1,23,6,2007,20076,200723
2,2007-06-05,57.0,47,52.0,0.27,29.16,29.78,6.2,3,8.1,1,23,6,2007,20076,200723
1,2007-06-06,58.0,48,55.0,0.01,29.07,29.81,10.8,17,11.4,1,23,6,2007,20076,200723
2,2007-06-06,61.0,47,55.0,0.005,29.13,29.82,9.6,15,10.6,1,23,6,2007,20076,200723
1,2007-06-07,81.0,62,69.0,0.0,28.84,29.55,22.7,20,23.1,0,23,6,2007,20076,200723
2,2007-06-07,82.0,61,68.0,0.0,28.91,29.55,20.3,19,20.7,0,23,6,2007,20076,200723
1,2007-06-08,69.0,53,61.0,0.0,29.18,29.85,10.9,28,13.8,0,23,6,2007,20076,200723
2,2007-06-08,72.0,54,62.0,0.0,29.24,29.83,9.3,26,12.4,0,23,6,2007,20076,200723
1,2007-06-09,66.0,47,57.0,0.0,29.36,30.07,0.3,33,5.0,0,23,6,2007,20076,200723
2,2007-06-09,68.0,49,58.0,0.0,29.42,30.05,2.4,19,4.7,0,23,6,2007,20076,200723
1,2007-06-10,68.0,51,59.0,0.0,29.34,30.05,4.8,17,5.6,0,23,6,2007,20076,200723
2,2007-06-10,71.0,50,60.0,0.0,29.39,30.04,4.6,16,5.8,0,23,6,2007,20076,200723
1,2007-06-11,72.0,52,61.0,0.0,29.41,30.11,4.9,11,6.9,0,24,6,2007,20076,200724
2,2007-06-11,75.0,51,61.0,0.0,29.47,30.09,6.6,9,8.4,0,24,6,2007,20076,200724
1,2007-06-12,73.0,50,60.0,0.0,29.44,30.16,8.3,5,8.8,0,24,6,2007,20076,200724
2,2007-06-12,74.0,51,61.0,0.0,29.49,30.14,9.4,5,10.0,0,24,6,2007,20076,200724
1,2007-06-13,74.0,53,62.0,0.0,29.36,30.09,7.2,5,8.6,0,24,6,2007,20076,200724
2,2007-06-13,77.0,53,62.0,0.0,29.28,29.97,7.0,5,8.1,0,24,6,2007,20076,200724
1,2007-06-14,77.0,55,64.0,0.0,29.3,30.02,5.6,5,6.8,0,24,6,2007,20076,200724
2,2007-06-14,79.0,54,63.0,0.0,29.36,30.0,5.9,7,6.4,0,24,6,2007,20076,200724
1,2007-06-15,77.0,56,64.0,0.0,29.28,29.99,4.1,6,4.9,0,24,6,2007,20076,200724
2,2007-06-15,78.0,56,65.0,0.0,29.34,29.97,3.8,9,4.1,0,24,6,2007,20076,200724
1,2007-06-16,80.0,60,67.0,0.005,29.26,29.97,4.8,28,5.8,1,24,6,2007,20076,200724
2,2007-06-16,80.0,61,68.0,0.005,29.33,29.96,2.1,22,6.1,0,24,6,2007,20076,200724
1,2007-06-17,81.0,64,70.0,0.0,29.23,29.95,2.8,11,6.3,0,24,6,2007,20076,200724
2,2007-06-17,81.0,65,70.0,0.16,29.28,29.93,4.0,11,6.1,0,24,6,2007,20076,200724
1,2007-06-18,79.0,65,70.0,0.28,29.12,29.84,14.0,20,15.1,1,25,6,2007,20076,200725
2,2007-06-18,81.0,65,70.0,0.02,29.19,29.83,12.2,20,12.6,1,25,6,2007,20076,200725
1,2007-06-19,73.0,55,63.0,0.58,29.26,29.95,10.7,28,11.4,1,25,6,2007,20076,200725
2,2007-06-19,73.0,55,63.0,0.93,29.31,29.93,10.1,29,11.3,1,25,6,2007,20076,200725
1,2007-06-20,73.0,52,61.0,0.0,29.39,30.1,7.8,27,8.8,0,25,6,2007,20076,200725
2,2007-06-20,74.0,50,61.0,0.0,29.46,30.09,5.9,28,7.7,0,25,6,2007,20076,200725
1,2007-06-21,69.0,51,60.0,0.01,29.36,30.08,3.5,3,10.7,1,25,6,2007,20076,200725
2,2007-06-21,73.0,51,61.0,0.005,29.41,30.06,3.7,2,9.6,1,25,6,2007,20076,200725
1,2007-06-22,69.0,50,58.0,0.005,29.33,30.06,7.8,6,8.7,1,25,6,2007,20076,200725
2,2007-06-22,69.0,49,58.0,0.005,29.39,30.05,6.5,7,8.1,1,25,6,2007,20076,200725
1,2007-06-23,65.0,58,61.0,0.05,29.23,29.96,7.6,12,9.0,1,25,6,2007,20076,200725
2,2007-06-23,65.0,60,62.0,0.34,29.28,29.95,7.3,11,8.1,1,25,6,2007,20076,200725
1,2007-06-24,70.0,62,65.0,0.0,29.26,29.97,7.0,9,8.0,1,25,6,2007,20076,200725
2,2007-06-24,70.0,62,65.0,0.0,29.33,29.96,5.6,10,6.0,1,25,6,2007,20076,200725
1,2007-06-25,77.0,66,70.0,0.0,29.38,30.07,3.9,14,6.8,1,26,6,2007,20076,200726
2,2007-06-25,77.0,67,70.0,0.0,29.44,30.06,4.0,12,5.9,1,26,6,2007,20076,200726
1,2007-06-26,81.0,69,72.0,0.16,29.39,30.11,6.1,22,7.1,1,26,6,2007,20076,200726
2,2007-06-26,82.0,69,72.0,0.005,29.45,30.09,7.3,21,8.1,1,26,6,2007,20076,200726
1,2007-06-27,81.0,70,72.0,0.15,29.29,30.02,7.5,24,8.8,1,26,6,2007,20076,200726
2,2007-06-27,80.0,69,72.0,0.35,29.36,30.0,7.9,24,8.5,1,26,6,2007,20076,200726
1,2007-06-28,66.0,55,60.0,0.0,29.41,30.09,11.9,3,12.5,0,26,6,2007,20076,200726
2,2007-06-28,67.0,56,61.0,0.0,29.43,30.07,12.2,2,13.3,0,26,6,2007,20076,200726
1,2007-06-29,63.0,55,59.0,0.0,29.41,30.13,7.6,2,8.3,0,26,6,2007,20076,200726
2,2007-06-29,64.0,56,60.0,0.0,29.47,30.11,7.4,2,8.2,0,26,6,2007,20076,200726
1,2007-06-30,67.0,46,56.0,0.0,29.41,30.13,4.9,3,5.8,0,26,6,2007,20076,200726
2,2007-06-30,68.0,49,58.0,0.0,29.46,30.11,5.1,4,6.2,0,26,6,2007,20076,200726
1,2007-07-01,65.0,52,58.0,0.0,29.51,30.23,8.6,4,8.6,0,26,7,2007,20077,200726
2,2007-07-01,69.0,51,59.0,0.0,29.56,30.21,9.5,4,9.7,0,26,7,2007,20077,200726
1,2007-07-02,66.0,50,58.0,0.0,29.49,30.22,5.9,14,8.1,0,27,7,2007,20077,200727
2,2007-07-02,68.0,50,59.0,0.0,29.55,30.21,7.4,12,8.5,0,27,7,2007,20077,200727
1,2007-07-03,72.0,57,63.0,0.4,29.31,30.06,6.7,21,7.3,1,27,7,2007,20077,200727
2,2007-07-03,73.0,56,63.0,0.09,29.38,30.05,6.4,21,7.4,1,27,7,2007,20077,200727
1,2007-07-04,77.0,65,69.0,0.16,29.18,29.9,4.6,27,8.2,1,27,7,2007,20077,200727
2,2007-07-04,76.0,65,69.0,0.66,29.23,29.88,3.1,25,8.8,1,27,7,2007,20077,200727
1,2007-07-05,80.0,60,67.0,0.0,29.24,29.94,6.4,31,8.1,1,27,7,2007,20077,200727
2,2007-07-05,79.0,60,67.0,0.0,29.29,29.92,4.3,33,6.9,1,27,7,2007,20077,200727
1,2007-07-06,76.0,57,64.0,0.0,29.32,30.03,3.2,5,5.5,0,27,7,2007,20077,200727
2,2007-07-06,76.0,57,65.0,0.0,29.38,30.01,3.3,7,5.5,0,27,7,2007,20077,200727
1,2007-07-07,77.0,63,69.0,0.0,29.18,29.91,8.4,22,8.6,0,27,7,2007,20077,200727
2,2007-07-07,78.0,62,68.0,0.0,29.24,29.9,7.4,23,8.1,0,27,7,2007,20077,200727
1,2007-07-08,85.0,67,72.0,0.0,29.05,29.77,12.9,24,13.1,0,27,7,2007,20077,200727
2,2007-07-08,84.0,67,72.0,0.0,29.12,29.76,12.6,23,12.7,0,27,7,2007,20077,200727
1,2007-07-09,82.0,66,70.0,0.3,29.11,29.8,4.9,24,8.8,1,28,7,2007,20077,200728
2,2007-07-09,83.0,67,71.0,0.24,29.16,29.79,4.8,23,8.8,1,28,7,2007,20077,200728
1,2007-07-10,79.0,67,70.0,0.43,29.06,29.77,8.6,23,10.5,1,28,7,2007,20077,200728
2,2007-07-10,80.0,67,71.0,0.08,29.13,29.76,8.2,23,10.2,1,28,7,2007,20077,200728
1,2007-07-11,70.0,51,59.0,0.0,29.23,29.93,8.8,30,10.9,0,28,7,2007,20077,200728
2,2007-07-11,70.0,51,59.0,0.0,29.28,29.92,9.1,30,11.2,0,28,7,2007,20077,200728
1,2007-07-12,71.0,51,59.0,0.0,29.22,29.93,9.4,29,11.1,0,28,7,2007,20077,200728
2,2007-07-12,70.0,51,60.0,0.0,29.28,29.92,10.0,28,11.4,1,28,7,2007,20077,200728
1,2007-07-13,68.0,52,58.0,0.0,29.26,29.98,1.4,1,5.3,0,28,7,2007,20077,200728
2,2007-07-13,67.0,53,59.0,0.0,29.33,29.98,2.0,7,5.8,0,28,7,2007,20077,200728
1,2007-07-14,73.0,55,62.0,0.0,29.08,29.79,8.3,26,13.2,0,28,7,2007,20077,200728
2,2007-07-14,74.0,55,62.0,0.0,29.14,29.79,8.4,25,13.9,0,28,7,2007,20077,200728
1,2007-07-15,71.0,53,61.0,0.0,29.19,29.89,2.1,29,4.9,0,28,7,2007,20077,200728
2,2007-07-15,72.0,52,61.0,0.0,29.25,29.88,1.2,9,6.5,0,28,7,2007,20077,200728
1,2007-07-16,74.0,60,65.0,0.39,29.25,29.96,4.4,24,5.2,1,29,7,2007,20077,200729
2,2007-07-16,74.0,60,65.0,0.07,29.31,29.94,5.6,23,6.6,1,29,7,2007,20077,200729
1,2007-07-17,76.0,66,69.0,0.11,29.18,29.9,5.2,23,6.5,1,29,7,2007,20077,200729
2,2007-07-17,76.0,65,69.0,0.11,29.24,29.89,6.3,23,7.4,1,29,7,2007,20077,200729
1,2007-07-18,77.0,68,71.0,1.55,29.11,29.84,9.1,24,10.1,1,29,7,2007,20077,200729
2,2007-07-18,77.0,69,71.0,0.92,29.18,29.83,10.3,24,10.6,1,29,7,2007,20077,200729
1,2007-07-19,73.0,63,66.0,0.16,29.21,29.9,7.0,1,11.9,1,29,7,2007,20077,200729
2,2007-07-19,73.0,62,66.0,0.01,29.26,29.88,7.7,36,14.4,1,29,7,2007,20077,200729
1,2007-07-20,67.0,53,59.0,0.0,29.44,30.14,8.6,3,9.1,0,29,7,2007,20077,200729
2,2007-07-20,68.0,52,59.0,0.0,29.49,30.12,11.3,4,11.5,0,29,7,2007,20077,200729
1,2007-07-21,66.0,52,58.0,0.0,29.51,30.22,6.5,3,7.4,0,29,7,2007,20077,200729
2,2007-07-21,67.0,52,59.0,0.0,29.57,30.21,5.8,4,7.4,0,29,7,2007,20077,200729
1,2007-07-22,70.0,55,61.0,0.0,29.49,30.21,1.7,16,3.3,0,29,7,2007,20077,200729
2,2007-07-22,71.0,54,61.0,0.0,29.54,30.2,1.9,18,3.5,0,29,7,2007,20077,200729
1,2007-07-23,72.0,55,63.0,0.0,29.37,30.1,3.2,9,4.0,0,30,7,2007,20077,200730
2,2007-07-23,73.0,55,63.0,0.0,29.42,30.09,2.9,12,3.9,0,30,7,2007,20077,200730
1,2007-07-24,74.0,58,64.0,0.0,29.32,30.04,3.1,20,5.2,0,30,7,2007,20077,200730
2,2007-07-24,74.0,57,64.0,0.005,29.38,30.03,1.1,21,4.9,0,30,7,2007,20077,200730
1,2007-07-25,78.0,61,67.0,0.005,29.29,30.0,5.8,25,6.6,0,30,7,2007,20077,200730
2,2007-07-25,77.0,60,66.0,0.0,29.35,29.99,6.4,23,7.0,0,30,7,2007,20077,200730
1,2007-07-26,75.0,65,68.0,0.19,29.19,29.92,7.2,22,9.4,1,30,7,2007,20077,200730
2,2007-07-26,74.0,65,68.0,0.89,29.25,29.91,7.2,22,9.9,1,30,7,2007,20077,200730
1,2007-07-27,77.0,68,70.0,0.17,29.11,29.82,3.0,3,7.9,1,30,7,2007,20077,200730
2,2007-07-27,77.0,67,70.0,0.04,29.16,29.8,1.2,36,8.1,1,30,7,2007,20077,200730
1,2007-07-28,73.0,65,68.0,0.0,29.23,29.93,10.0,3,10.2,1,30,7,2007,20077,200730
2,2007-07-28,75.0,65,68.0,0.0,29.28,29.91,10.6,3,10.7,1,30,7,2007,20077,200730
1,2007-07-29,74.0,57,64.0,0.0,29.28,29.99,4.8,5,5.7,0,30,7,2007,20077,200730
2,2007-07-29,76.0,56,64.0,0.0,29.34,29.97,6.3,5,6.9,0,30,7,2007,20077,200730
1,2007-07-30,76.0,55,64.0,0.0,29.33,30.03,3.8,6,4.3,0,31,7,2007,20077,200731
2,2007-07-30,76.0,57,65.0,0.0,29.39,30.01,3.1,6,4.6,0,31,7,2007,20077,200731
1,2007-07-31,80.0,61,68.0,0.0,29.33,30.04,3.3,4,4.9,0,31,7,2007,20077,200731
2,2007-07-31,79.0,60,68.0,0.0,29.39,30.02,4.0,7,5.0,0,31,7,2007,20077,200731
1,2007-08-01,81.0,62,69.0,0.0,29.29,30.0,3.5,9,4.1,0,31,8,2007,20078,200731
2,2007-08-01,80.0,63,70.0,0.0,29.34,29.98,2.1,13,3.7,0,31,8,2007,20078,200731
1,2007-08-02,81.0,66,71.0,0.0,29.26,29.97,5.5,26,5.9,0,31,8,2007,20078,200731
2,2007-08-02,82.0,66,72.0,0.0,29.31,29.95,6.5,23,7.2,0,31,8,2007,20078,200731
1,2007-08-03,80.0,56,66.0,0.0,29.31,30.02,2.7,3,5.7,0,31,8,2007,20078,200731
2,2007-08-03,81.0,58,67.0,0.0,29.36,30.0,3.3,6,5.8,0,31,8,2007,20078,200731
1,2007-08-04,73.0,58,64.0,0.03,29.31,30.03,5.7,8,6.1,1,31,8,2007,20078,200731
2,2007-08-04,75.0,58,65.0,0.02,29.36,30.01,5.9,9,6.6,1,31,8,2007,20078,200731
1,2007-08-05,78.0,71,73.0,1.43,29.08,29.81,5.4,21,9.6,1,31,8,2007,20078,200731
2,2007-08-05,78.0,71,72.0,0.97,29.15,29.79,7.0,22,10.2,1,31,8,2007,20078,200731
1,2007-08-06,81.0,72,74.0,0.26,29.13,29.83,1.6,10,4.9,1,32,8,2007,20078,200732
2,2007-08-06,80.0,72,74.0,0.05,29.17,29.81,2.6,10,4.6,1,32,8,2007,20078,200732
1,2007-08-07,82.0,73,76.0,1.31,29.06,29.76,6.2,25,9.0,1,32,8,2007,20078,200732
2,2007-08-07,83.0,73,76.0,0.06,29.11,29.74,6.3,24,8.8,1,32,8,2007,20078,200732
1,2007-08-08,80.0,71,73.0,0.06,29.13,29.83,3.0,3,6.9,1,32,8,2007,20078,200732
2,2007-08-08,81.0,72,74.0,0.09,29.18,29.81,1.5,4,6.4,1,32,8,2007,20078,200732
1,2007-08-09,78.0,71,73.0,0.05,29.13,29.84,2.5,29,6.0,1,32,8,2007,20078,200732
2,2007-08-09,79.0,71,73.0,0.46,29.19,29.82,3.1,27,6.3,1,32,8,2007,20078,200732
1,2007-08-10,78.0,68,72.0,0.0,29.26,29.96,4.5,2,5.9,1,32,8,2007,20078,200732
2,2007-08-10,80.0,69,72.0,0.0,29.32,29.94,3.0,6,5.4,0,32,8,2007,20078,200732
1,2007-08-11,78.0,65,70.0,0.0,29.31,30.02,3.2,19,3.9,1,32,8,2007,20078,200732
2,2007-08-11,78.0,65,70.0,0.0,29.38,30.0,3.1,20,3.9,1,32,8,2007,20078,200732
1,2007-08-12,78.0,67,71.0,0.29,29.34,30.06,1.7,6,5.4,1,32,8,2007,20078,200732
2,2007-08-12,78.0,67,70.0,0.23,29.4,30.04,1.9,6,6.6,1,32,8,2007,20078,200732
1,2007-08-13,73.0,57,64.0,0.0,29.39,30.11,6.2,6,6.9,1,33,8,2007,20078,200733
2,2007-08-13,75.0,54,63.0,0.0,29.44,30.08,6.9,8,7.7,0,33,8,2007,20078,200733
1,2007-08-14,75.0,67,70.0,0.41,29.23,29.93,5.9,25,8.0,1,33,8,2007,20078,200733
2,2007-08-14,75.0,66,69.0,0.45,29.29,29.92,6.4,23,9.0,1,33,8,2007,20078,200733
1,2007-08-15,76.0,67,70.0,0.23,29.17,29.89,3.4,7,5.8,1,33,8,2007,20078,200733
2,2007-08-15,77.0,69,71.0,0.83,29.23,29.87,4.9,6,7.1,1,33,8,2007,20078,200733
1,2007-08-16,71.0,64,67.0,0.0,29.28,29.97,3.6,1,5.7,1,33,8,2007,20078,200733
2,2007-08-16,72.0,65,68.0,0.0,29.33,29.95,3.5,1,5.7,1,33,8,2007,20078,200733
1,2007-08-17,70.0,54,61.0,0.0,29.41,30.1,5.9,32,6.8,0,33,8,2007,20078,200733
2,2007-08-17,73.0,54,62.0,0.0,29.46,30.08,6.1,31,7.4,0,33,8,2007,20078,200733
1,2007-08-18,64.0,54,58.0,0.09,29.44,30.16,6.4,12,8.1,1,33,8,2007,20078,200733
2,2007-08-18,65.0,54,58.0,0.42,29.48,30.15,6.1,13,7.0,1,33,8,2007,20078,200733
1,2007-08-19,65.0,62,64.0,1.33,29.24,29.99,6.0,10,7.4,1,33,8,2007,20078,200733
2,2007-08-19,66.0,63,64.0,1.33,29.3,29.98,5.5,10,7.5,1,33,8,2007,20078,200733
1,2007-08-20,73.0,68,69.0,0.91,29.15,29.87,0.5,12,5.7,1,34,8,2007,20078,200734
2,2007-08-20,72.0,69,70.0,0.48,29.21,29.85,2.4,20,5.9,1,34,8,2007,20078,200734
1,2007-08-21,78.0,70,72.0,0.005,29.21,29.91,3.8,18,6.0,1,34,8,2007,20078,200734
2,2007-08-21,77.0,70,72.0,0.01,29.26,29.89,3.5,17,6.0,1,34,8,2007,20078,200734
1,2007-08-22,80.0,71,73.0,0.37,29.23,29.94,5.3,21,9.5,1,34,8,2007,20078,200734
2,2007-08-22,80.0,70,73.0,0.88,29.29,29.93,5.1,21,8.4,1,34,8,2007,20078,200734
1,2007-08-23,78.0,69,71.0,2.35,29.15,29.87,9.6,21,11.7,1,34,8,2007,20078,200734
2,2007-08-23,80.0,69,71.0,1.96,29.21,29.86,6.7,21,9.1,1,34,8,2007,20078,200734
1,2007-08-24,75.0,67,69.0,0.24,29.11,29.82,5.8,25,7.1,1,34,8,2007,20078,200734
2,2007-08-24,75.0,67,69.0,0.2,29.16,29.81,5.5,25,7.3,1,34,8,2007,20078,200734
1,2007-08-25,72.0,63,66.0,0.34,29.23,29.93,3.0,36,5.6,1,34,8,2007,20078,200734
2,2007-08-25,71.0,63,66.0,0.25,29.29,29.91,2.4,3,6.4,1,34,8,2007,20078,200734
1,2007-08-26,70.0,55,61.0,0.0,29.38,30.08,3.6,11,5.4,0,34,8,2007,20078,200734
2,2007-08-26,70.0,55,62.0,0.0,29.44,30.07,3.7,11,4.6,0,34,8,2007,20078,200734
1,2007-08-27,70.0,60,64.0,0.0,29.36,30.07,6.5,17,7.4,0,35,8,2007,20078,200735
2,2007-08-27,71.0,59,64.0,0.0,29.41,30.06,6.4,16,7.3,0,35,8,2007,20078,200735
1,2007-08-28,79.0,66,70.0,0.0,29.28,29.99,9.0,20,9.5,0,35,8,2007,20078,200735
2,2007-08-28,80.0,65,70.0,0.0,29.34,29.98,7.8,21,8.3,0,35,8,2007,20078,200735
1,2007-08-29,77.0,65,69.0,0.005,29.34,30.04,5.6,3,8.2,0,35,8,2007,20078,200735
2,2007-08-29,78.0,64,69.0,0.005,29.39,30.02,5.3,3,8.8,0,35,8,2007,20078,200735
1,2007-08-30,66.0,54,60.0,0.0,29.47,30.18,9.1,2,9.9,0,35,8,2007,20078,200735
2,2007-08-30,68.0,54,61.0,0.0,29.51,30.15,10.8,3,10.9,0,35,8,2007,20078,200735
1,2007-08-31,67.0,52,59.0,0.0,29.47,30.19,3.9,4,5.2,0,35,8,2007,20078,200735
2,2007-08-31,67.0,54,60.0,0.0,29.52,30.17,3.0,6,4.6,0,35,8,2007,20078,200735
1,2007-09-01,69.0,55,61.0,0.0,29.49,30.22,4.2,11,5.0,0,35,9,2007,20079,200735
